nohup: ignoring input
Namespace(SGD=False, adam=False, alpha=0.0, beta=1.0, cached=False, cpu=False, dataset='arxiv-year', delta=0.1, directed=True, display_step=1, dropout=0.0, epochs=500, gamma=0.9, gat_heads=8, gcn2_alpha=0.1, gpr_alpha=0.1, hidden_channels=256, hops=1, inner_activation=False, inner_dropout=False, jk_type='max', link_init_layers_A=1, link_init_layers_X=1, lp_alpha=0.1, lr=0.005, method='mlpnorm', no_bn=False, norm_func_id=2, norm_layers=1, num_layers=2, num_mlp_layers=1, orders=1, orders_func_id=2, print_prop=False, rand_split=False, rocauc=False, runs=1, sampling=False, sub_dataset='', theta=0.5, train_prop=0.5, valid_prop=0.25, weight_decay=0.0)
num nodes 169343 | num classes 5 | num node feats 128
MODEL: MLPNORM(
  (fc1): Linear(in_features=128, out_features=256, bias=True)
  (fc2): Linear(in_features=256, out_features=5, bias=True)
  (fc3): Linear(in_features=256, out_features=256, bias=True)
  (fc4): Linear(in_features=169343, out_features=256, bias=True)
)
Epoch: 00, Loss: 1.6096, Train: 28.73%, Valid: 28.55%, Test: 28.83%
Epoch: 01, Loss: 1.5798, Train: 29.28%, Valid: 28.82%, Test: 29.12%
Epoch: 02, Loss: 1.5294, Train: 30.37%, Valid: 29.32%, Test: 29.63%
Epoch: 03, Loss: 1.4597, Train: 31.96%, Valid: 30.12%, Test: 30.33%
Epoch: 04, Loss: 1.3962, Train: 40.21%, Valid: 34.57%, Test: 35.08%
Epoch: 05, Loss: 1.3148, Train: 56.00%, Valid: 45.15%, Test: 45.84%
Epoch: 06, Loss: 1.2235, Train: 63.41%, Valid: 49.30%, Test: 49.83%
Epoch: 07, Loss: 1.1352, Train: 65.78%, Valid: 51.86%, Test: 52.32%
Epoch: 08, Loss: 1.0246, Train: 67.60%, Valid: 52.39%, Test: 53.05%
Epoch: 09, Loss: 0.9253, Train: 72.06%, Valid: 53.13%, Test: 53.82%
Epoch: 10, Loss: 0.8184, Train: 76.03%, Valid: 53.64%, Test: 54.03%
Epoch: 11, Loss: 0.7231, Train: 79.33%, Valid: 54.01%, Test: 54.25%
Epoch: 12, Loss: 0.6353, Train: 81.37%, Valid: 54.40%, Test: 54.75%
Epoch: 13, Loss: 0.5588, Train: 82.78%, Valid: 54.35%, Test: 54.76%
Epoch: 14, Loss: 0.4993, Train: 84.34%, Valid: 54.22%, Test: 54.42%
Epoch: 15, Loss: 0.4444, Train: 85.20%, Valid: 54.05%, Test: 54.17%
Epoch: 16, Loss: 0.4046, Train: 86.15%, Valid: 53.79%, Test: 54.26%
Epoch: 17, Loss: 0.3701, Train: 87.00%, Valid: 53.38%, Test: 53.78%
Epoch: 18, Loss: 0.3427, Train: 87.61%, Valid: 52.94%, Test: 53.37%
Epoch: 19, Loss: 0.3215, Train: 88.28%, Valid: 52.82%, Test: 53.40%
Epoch: 20, Loss: 0.3018, Train: 88.70%, Valid: 52.77%, Test: 53.29%
Epoch: 21, Loss: 0.2872, Train: 89.09%, Valid: 52.37%, Test: 52.93%
Epoch: 22, Loss: 0.2742, Train: 89.47%, Valid: 52.34%, Test: 52.80%
Epoch: 23, Loss: 0.2639, Train: 89.72%, Valid: 52.25%, Test: 52.85%
Epoch: 24, Loss: 0.2551, Train: 89.94%, Valid: 52.04%, Test: 52.51%
Epoch: 25, Loss: 0.2483, Train: 90.09%, Valid: 52.03%, Test: 52.45%
Epoch: 26, Loss: 0.2420, Train: 90.23%, Valid: 51.85%, Test: 52.56%
Epoch: 27, Loss: 0.2379, Train: 90.08%, Valid: 51.67%, Test: 52.13%
Epoch: 28, Loss: 0.2358, Train: 90.27%, Valid: 51.71%, Test: 52.37%
Epoch: 29, Loss: 0.2344, Train: 90.33%, Valid: 51.66%, Test: 52.06%
Epoch: 30, Loss: 0.2283, Train: 90.75%, Valid: 51.64%, Test: 52.16%
Epoch: 31, Loss: 0.2220, Train: 90.73%, Valid: 51.59%, Test: 52.08%
Epoch: 32, Loss: 0.2214, Train: 90.63%, Valid: 51.65%, Test: 52.01%
Epoch: 33, Loss: 0.2193, Train: 90.98%, Valid: 51.73%, Test: 52.26%
Epoch: 34, Loss: 0.2156, Train: 91.01%, Valid: 51.43%, Test: 51.97%
Epoch: 35, Loss: 0.2136, Train: 90.97%, Valid: 51.51%, Test: 51.85%
Epoch: 36, Loss: 0.2136, Train: 91.08%, Valid: 51.55%, Test: 52.22%
Epoch: 37, Loss: 0.2114, Train: 91.15%, Valid: 51.48%, Test: 52.06%
Epoch: 38, Loss: 0.2097, Train: 91.18%, Valid: 51.47%, Test: 51.94%
Epoch: 39, Loss: 0.2084, Train: 91.15%, Valid: 51.33%, Test: 51.94%
Epoch: 40, Loss: 0.2083, Train: 91.23%, Valid: 51.34%, Test: 51.75%
Epoch: 41, Loss: 0.2068, Train: 91.33%, Valid: 51.42%, Test: 52.00%
Epoch: 42, Loss: 0.2054, Train: 91.33%, Valid: 51.29%, Test: 51.91%
Epoch: 43, Loss: 0.2046, Train: 91.34%, Valid: 51.14%, Test: 51.70%
Epoch: 44, Loss: 0.2045, Train: 91.37%, Valid: 51.26%, Test: 51.94%
Epoch: 45, Loss: 0.2038, Train: 91.43%, Valid: 51.21%, Test: 51.78%
Epoch: 46, Loss: 0.2026, Train: 91.46%, Valid: 51.14%, Test: 51.74%
Epoch: 47, Loss: 0.2019, Train: 91.46%, Valid: 51.22%, Test: 51.83%
Epoch: 48, Loss: 0.2012, Train: 91.48%, Valid: 51.21%, Test: 51.76%
Epoch: 49, Loss: 0.2011, Train: 91.52%, Valid: 51.08%, Test: 51.81%
Epoch: 50, Loss: 0.2007, Train: 91.51%, Valid: 51.16%, Test: 51.77%
Epoch: 51, Loss: 0.2005, Train: 91.60%, Valid: 51.10%, Test: 51.83%
Epoch: 52, Loss: 0.1996, Train: 91.58%, Valid: 51.13%, Test: 51.80%
Epoch: 53, Loss: 0.1989, Train: 91.65%, Valid: 51.10%, Test: 51.80%
Epoch: 54, Loss: 0.1984, Train: 91.69%, Valid: 51.05%, Test: 51.74%
Epoch: 55, Loss: 0.1979, Train: 91.67%, Valid: 51.15%, Test: 51.76%
Epoch: 56, Loss: 0.1976, Train: 91.72%, Valid: 51.08%, Test: 51.74%
Epoch: 57, Loss: 0.1973, Train: 91.68%, Valid: 51.05%, Test: 51.61%
Epoch: 58, Loss: 0.1974, Train: 91.70%, Valid: 51.04%, Test: 51.82%
Epoch: 59, Loss: 0.1975, Train: 91.63%, Valid: 51.01%, Test: 51.57%
Epoch: 60, Loss: 0.1979, Train: 91.58%, Valid: 50.96%, Test: 51.71%
Epoch: 61, Loss: 0.1989, Train: 91.42%, Valid: 50.81%, Test: 51.44%
Epoch: 62, Loss: 0.1991, Train: 91.57%, Valid: 50.99%, Test: 51.72%
Epoch: 63, Loss: 0.1987, Train: 91.67%, Valid: 51.03%, Test: 51.65%
Epoch: 64, Loss: 0.1964, Train: 91.86%, Valid: 51.00%, Test: 51.65%
Epoch: 65, Loss: 0.1949, Train: 91.85%, Valid: 51.07%, Test: 51.77%
Epoch: 66, Loss: 0.1946, Train: 91.74%, Valid: 50.97%, Test: 51.63%
Epoch: 67, Loss: 0.1956, Train: 91.62%, Valid: 50.96%, Test: 51.59%
Epoch: 68, Loss: 0.1967, Train: 91.74%, Valid: 50.93%, Test: 51.62%
Epoch: 69, Loss: 0.1955, Train: 91.86%, Valid: 51.04%, Test: 51.74%
Epoch: 70, Loss: 0.1941, Train: 91.93%, Valid: 51.11%, Test: 51.65%
Epoch: 71, Loss: 0.1931, Train: 91.86%, Valid: 51.05%, Test: 51.65%
Epoch: 72, Loss: 0.1934, Train: 91.85%, Valid: 50.96%, Test: 51.69%
Epoch: 73, Loss: 0.1941, Train: 91.80%, Valid: 50.97%, Test: 51.63%
Epoch: 74, Loss: 0.1940, Train: 91.86%, Valid: 50.96%, Test: 51.64%
Epoch: 75, Loss: 0.1935, Train: 91.94%, Valid: 51.07%, Test: 51.57%
Epoch: 76, Loss: 0.1924, Train: 91.97%, Valid: 51.08%, Test: 51.75%
Epoch: 77, Loss: 0.1919, Train: 91.98%, Valid: 50.98%, Test: 51.54%
Epoch: 78, Loss: 0.1921, Train: 91.91%, Valid: 51.03%, Test: 51.66%
Epoch: 79, Loss: 0.1923, Train: 91.93%, Valid: 51.01%, Test: 51.65%
Epoch: 80, Loss: 0.1924, Train: 91.94%, Valid: 50.97%, Test: 51.58%
Epoch: 81, Loss: 0.1920, Train: 92.02%, Valid: 51.02%, Test: 51.62%
Epoch: 82, Loss: 0.1914, Train: 92.04%, Valid: 51.04%, Test: 51.54%
Epoch: 83, Loss: 0.1910, Train: 92.05%, Valid: 51.07%, Test: 51.71%
Epoch: 84, Loss: 0.1907, Train: 92.06%, Valid: 50.94%, Test: 51.47%
Epoch: 85, Loss: 0.1906, Train: 91.99%, Valid: 51.06%, Test: 51.70%
Epoch: 86, Loss: 0.1907, Train: 92.03%, Valid: 50.91%, Test: 51.49%
Epoch: 87, Loss: 0.1907, Train: 92.00%, Valid: 51.05%, Test: 51.66%
Epoch: 88, Loss: 0.1906, Train: 92.06%, Valid: 50.95%, Test: 51.54%
Epoch: 89, Loss: 0.1904, Train: 92.02%, Valid: 51.03%, Test: 51.65%
Epoch: 90, Loss: 0.1900, Train: 92.10%, Valid: 50.99%, Test: 51.57%
Epoch: 91, Loss: 0.1899, Train: 92.07%, Valid: 50.94%, Test: 51.48%
Epoch: 92, Loss: 0.1900, Train: 92.05%, Valid: 51.07%, Test: 51.72%
Epoch: 93, Loss: 0.1904, Train: 92.05%, Valid: 50.77%, Test: 51.26%
Epoch: 94, Loss: 0.1910, Train: 91.92%, Valid: 51.07%, Test: 51.84%
Epoch: 95, Loss: 0.1917, Train: 91.96%, Valid: 50.67%, Test: 51.21%
Epoch: 96, Loss: 0.1915, Train: 92.02%, Valid: 50.99%, Test: 51.65%
Epoch: 97, Loss: 0.1904, Train: 92.07%, Valid: 50.92%, Test: 51.53%
Epoch: 98, Loss: 0.1894, Train: 92.05%, Valid: 50.89%, Test: 51.46%
Epoch: 99, Loss: 0.1895, Train: 92.00%, Valid: 51.14%, Test: 51.69%
Epoch: 100, Loss: 0.1899, Train: 92.08%, Valid: 50.80%, Test: 51.35%
Epoch: 101, Loss: 0.1893, Train: 92.12%, Valid: 51.05%, Test: 51.69%
Epoch: 102, Loss: 0.1883, Train: 92.26%, Valid: 50.95%, Test: 51.54%
Epoch: 103, Loss: 0.1873, Train: 92.21%, Valid: 50.87%, Test: 51.46%
Epoch: 104, Loss: 0.1876, Train: 92.12%, Valid: 51.10%, Test: 51.70%
Epoch: 105, Loss: 0.1883, Train: 92.12%, Valid: 50.83%, Test: 51.39%
Epoch: 106, Loss: 0.1881, Train: 92.12%, Valid: 51.03%, Test: 51.64%
Epoch: 107, Loss: 0.1876, Train: 92.21%, Valid: 50.92%, Test: 51.56%
Epoch: 108, Loss: 0.1876, Train: 92.14%, Valid: 50.80%, Test: 51.32%
Epoch: 109, Loss: 0.1885, Train: 92.04%, Valid: 51.02%, Test: 51.64%
Epoch: 110, Loss: 0.1895, Train: 91.96%, Valid: 50.66%, Test: 51.14%
Epoch: 111, Loss: 0.1901, Train: 92.00%, Valid: 50.94%, Test: 51.55%
Epoch: 112, Loss: 0.1898, Train: 91.99%, Valid: 50.79%, Test: 51.49%
Epoch: 113, Loss: 0.1888, Train: 92.04%, Valid: 50.78%, Test: 51.50%
